fragility_supplied,fragility_recovered_rule,h1,h2,h5,c22b,l1,fragility_prob,match
0,0,2,,1,1,627,2.6336633e-05,True
0,0,1,2.0,1,1,42,2.6336633e-05,True
0,0,1,2.0,1,1,25,2.6336633e-05,True
0,0,1,1.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,1,28,2.6336633e-05,True
0,0,1,1.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,1,14,2.6336633e-05,True
0,0,1,2.0,1,1,120,2.6336633e-05,True
0,0,1,1.0,1,2,20,0.0096811233,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,2,102,0.0096811233,True
0,0,2,,2,1,20,0.013295408,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,1.0,1,2,5,0.0096811233,True
0,0,1,1.0,1,1,300,2.6336633e-05,True
0,0,2,,2,1,28,0.013295408,True
0,0,1,1.0,1,1,500,2.6336633e-05,True
0,0,1,1.0,2,1,138,0.013295408,True
0,0,1,2.0,1,2,57,0.0096811233,True
0,0,1,2.0,1,1,36,2.6336633e-05,True
0,0,1,2.0,1,2,8,0.0096811233,True
1,1,2,,2,2,13,0.83337283,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,1.0,1,1,19,2.6336633e-05,True
0,0,2,,1,1,231,2.6336633e-05,True
0,0,1,2.0,1,2,9,0.0096811233,True
0,0,2,,2,1,123,0.013295408,True
0,0,1,1.0,1,1,486,2.6336633e-05,True
0,0,1,2.0,1,2,5,0.0096811233,True
1,1,1,2.0,1,2,3,0.0096811233,True
0,0,1,1.0,1,2,14,0.0096811233,True
0,0,1,1.0,1,1,215,2.6336633e-05,True
0,0,1,1.0,1,1,5,2.6336633e-05,True
0,0,2,,2,1,21,0.013295408,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,1,12,2.6336633e-05,True
0,0,1,2.0,1,1,30,2.6336633e-05,True
0,0,1,2.0,1,2,4,0.0096811233,True
0,0,1,1.0,1,2,7,0.0096811233,True
0,0,1,1.0,1,1,46,2.6336633e-05,True
1,1,2,,2,2,8,0.83337283,True
0,0,2,,2,1,20,0.013295408,True
1,1,2,,2,2,168,0.83337283,True
0,0,1,1.0,1,1,9,2.6336633e-05,True
0,0,1,1.0,1,2,43,0.0096811233,True
0,0,1,2.0,1,1,62,2.6336633e-05,True
0,0,1,1.0,2,1,230,0.013295408,True
0,0,1,1.0,1,2,25,0.0096811233,True
0,0,1,1.0,1,1,191,2.6336633e-05,True
0,0,1,2.0,1,1,1600,2.6336633e-05,True
0,0,1,1.0,1,2,6,0.0096811233,True
0,0,1,1.0,1,1,131,2.6336633e-05,True
0,0,1,1.0,1,1,7,2.6336633e-05,True
0,0,1,2.0,1,2,156,0.0096811233,True
0,0,1,2.0,1,1,20,2.6336633e-05,True
