fragility_risk_flex,fragility_prob,change_permanent_employment,change_temporary_employment,revenue_volatility,capacity_utilization_change,internet_for_business,external_finance_assets,delayed_client_payments,late_supplier_payments,digital_platform_difficulty,ecommerce_share,sector,firm_size,manager_experience_years,omega_score,fragility_label,revenue_volatility_binary,digital_platform_difficulty_binary
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,20,2,2,9,0.0096811233,Non-fragile,0,1
1,0.83337283,1,2.0,2,2,1,1,10,90,2,60,3,1,3,0.83337283,Fragile,1,1
0,0.0096811233,1,1.0,1,2,1,1,80,10,2,50,2,2,18,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,4,80,0,1,60,2,1,2,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,4,4,100,0,2,60,2,1,7,0.83337283,Fragile,1,1
0,0.0096811233,1,2.0,1,2,1,1,80,20,2,35,2,1,3,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,1,60,40,2,70,2,1,4,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,1,60,20,2,3,1,3,5,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,60,2,1,3,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,80,0,2,5,3,1,3,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,5,3,1,2,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,1,2,70,0,1,30,1,1,11,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,4,4,80,0,1,15,1,1,7,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,1,1,4,60,40,2,30,1,2,10,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,40,3,1,5,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,4,70,30,2,30,3,2,60,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,1,4,70,30,2,70,3,3,4,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,2,4,80,0,1,40,2,2,20,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,4,75,0,2,25,2,1,2,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,78,2,1,4,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,30,0,2,70,3,1,6,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,2,60,40,1,40,3,2,40,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,1,1,70,30,1,40,3,2,12,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,90,2,1,3,0.0096811233,Non-fragile,0,1
1,0.83337283,1,2.0,2,2,1,4,80,20,2,70,2,1,2,0.83337283,Fragile,1,1
1,0.83337283,1,2.0,2,2,4,4,100,0,2,60,2,1,7,0.83337283,Fragile,1,1
1,0.83337283,2,,2,2,4,4,50,30,2,65,3,1,5,0.83337283,Fragile,1,1
0,2.6336633e-05,1,2.0,1,2,1,4,55,45,1,85,2,1,14,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,4,90,10,1,95,1,2,-9,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,4,1,60,0,2,45,2,1,2,0.0096811233,Non-fragile,0,1
