fragility_risk_flex,omega_score,h1,h2,h5,h8,k82,k162,k3a,k3bc,c22b,k33,a4a,a6a,b6
0,0.1731844,Yes,Yes,Yes,No,"Yes, a line of credit only","Yes, a loan only",100,0,No,80,Other Services,Small,1
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,65,Retail,Medium,10
0,0.1731844,Yes,No,Yes,Yes,"Yes, both a line of credit and a loan",No,30,70,Yes,98,Manufacturing,Large,456
0,0.1731844,Yes,Yes,Yes,No,No,"Yes, a loan only",40,60,No,70,Other Services,Small,2
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,85,Other Services,Medium,25
0,0.1731844,Yes,No,No,No,No,No,100,0,Yes,80,Other Services,Small,6
0,0.1731844,Yes,Yes,No,Yes,No,No,92,0,No,75,Manufacturing,Medium,4
0,0.1731844,No,,No,No,No,No,100,0,Yes,30,Manufacturing,Large,480
0,0.1731844,No,,Yes,No,No,No,50,0,Yes,75,Retail,Small,8
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,50,0,Yes,30,Manufacturing,Small,2
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,80,Retail,Medium,2
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,85,Retail,Small,14
0,0.1731844,Yes,Yes,No,No,No,No,100,0,Yes,96,Other Services,Medium,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,50,0,No,50,Manufacturing,Small,2
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,Yes,90,Other Services,Small,5
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,20,Retail,Medium,9
0,0.1731844,Yes,Yes,No,No,"Yes, a line of credit only","Yes, a loan only",60,10,Yes,100,Other Services,Large,20
0,0.1731844,Yes,No,Yes,No,No,No,60,0,Yes,80,Other Services,Small,18
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",40,60,Yes,100,Manufacturing,Medium,6
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,Yes,95,Other Services,Medium,Don't know (spontaneous)
0,0.1731844,Yes,Yes,Yes,No,"Yes, a line of credit only",No,80,20,Yes,30,Manufacturing,Large,80
0,0.1731844,Yes,Yes,Yes,No,No,No,70,0,No,2,Retail,Small,2
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",50,50,Yes,20,Retail,Small,2
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,75,Retail,Small,7
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,100,0,Yes,92,Other Services,Medium,29
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,70,20,No,65,Retail,Small,2
0,0.1731844,Yes,Yes,Yes,No,"Yes, a line of credit only","Yes, a loan only",60,0,No,20,Manufacturing,Small,4
0,0.1731844,Yes,No,No,No,No,No,80,0,Yes,99,Manufacturing,Medium,13
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",80,10,No,50,Retail,Medium,18
0,0.1731844,No,,No,No,No,"Yes, a line of credit only",100,0,Yes,50,Retail,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,75,0,No,25,Retail,Small,2
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only",No,0,0,No,50,Other Services,Small,3
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,70,Other Services,Medium,45
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",60,30,No,20,Retail,Small,3
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,90,Retail,Small,3
